,Industry,Industry name,Top Topic,Topic,words,Loading
23,3030,Household and Personal Products,Second Topic,Topic 49,"[('share', 0.02518648), ('return', 0.021979932), ('earn', 0.016599372), ('equiti', 0.016086165), ('perform', 0.013740237), ('stock', 0.012821753), ('market', 0.012519974), ('capit', 0.012459455), ('oper', 0.012442886), ('futur', 0.011733301)]",0.10823343917727465
24,3510,Health Care Equipment and Services,First Topic,Topic 49,"[('share', 0.02518648), ('return', 0.021979932), ('earn', 0.016599372), ('equiti', 0.016086165), ('perform', 0.013740237), ('stock', 0.012821753), ('market', 0.012519974), ('capit', 0.012459455), ('oper', 0.012442886), ('futur', 0.011733301)]",0.15407994911074635
25,3510,Health Care Equipment and Services,Second Topic,Topic 55,"[('health', 0.037674174), ('care', 0.029366488), ('medic', 0.020986216), ('servic', 0.016082164), ('healthcar', 0.014362868), ('medicar', 0.0137782255), ('insur', 0.012202462), ('hospit', 0.01213881), ('plan', 0.012047871), ('manag', 0.011994371)]",0.14796925485134124
26,3520,"Pharmaceuticals, Biotech, and Life Sciences",First Topic,Topic 16,"[('patient', 0.021759577), ('sale', 0.016419034), ('data', 0.016196059), ('approv', 0.0136267), ('phase', 0.012334284), ('studi', 0.012017157), ('treatment', 0.010823289), ('trial', 0.010466277), ('product', 0.009817853), ('pipelin', 0.009327583)]",0.23880843222141265
27,3520,"Pharmaceuticals, Biotech, and Life Sciences",Second Topic,Topic 49,"[('share', 0.02518648), ('return', 0.021979932), ('earn', 0.016599372), ('equiti', 0.016086165), ('perform', 0.013740237), ('stock', 0.012821753), ('market', 0.012519974), ('capit', 0.012459455), ('oper', 0.012442886), ('futur', 0.011733301)]",0.15136692896485326
28,4010,Banks,First Topic,Topic 58,"[('loan', 0.037722595), ('bank', 0.02072988), ('credit', 0.020719223), ('interest', 0.019834904), ('expect', 0.018913995), ('rate', 0.01781936), ('growth', 0.017335355), ('incom', 0.016829263), ('deposit', 0.0147996135), ('expens', 0.014474369)]",0.3599997520446777
29,4010,Banks,Second Topic,Topic 35,"[('bank', 0.053553414), ('rate', 0.020150643), ('fed', 0.011713146), ('cut', 0.011095295), ('capit', 0.01072059), ('cost', 0.009386454), ('return', 0.008304777), ('interest', 0.0076838913), ('credit', 0.0076685767), ('invest', 0.007446346)]",0.20047461092472077
30,4020,Diversified Financials,First Topic,Topic 56,"[('revenu', 0.028137486), ('market', 0.021754015), ('manag', 0.021581478), ('asset', 0.020490387), ('trade', 0.019472905), ('rate', 0.01777129), ('servic', 0.01446379), ('growth', 0.014196679), ('fee', 0.013831275), ('client', 0.012934702)]",0.24190146327018738
31,4020,Diversified Financials,Second Topic,Topic 49,"[('share', 0.02518648), ('return', 0.021979932), ('earn', 0.016599372), ('equiti', 0.016086165), ('perform', 0.013740237), ('stock', 0.012821753), ('market', 0.012519974), ('capit', 0.012459455), ('oper', 0.012442886), ('futur', 0.011733301)]",0.16556577160954472
32,4030,Insurance,First Topic,Topic 17,"[('insur', 0.04086635), ('oper', 0.026219329), ('loss', 0.01965294), ('earn', 0.017644038), ('premium', 0.015952159), ('ratio', 0.014519263), ('life', 0.013035234), ('share', 0.012344059), ('rate', 0.012171249), ('invest', 0.01084817)]",0.38485396802425387
33,4030,Insurance,Second Topic,Topic 49,"[('share', 0.02518648), ('return', 0.021979932), ('earn', 0.016599372), ('equiti', 0.016086165), ('perform', 0.013740237), ('stock', 0.012821753), ('market', 0.012519974), ('capit', 0.012459455), ('oper', 0.012442886), ('futur', 0.011733301)]",0.21027281731367112
34,4510,Software and Services,First Topic,Topic 46,"[('payment', 0.026910279), ('revenu', 0.02454597), ('servic', 0.024503985), ('growth', 0.019220393), ('transact', 0.012283106), ('process', 0.012164923), ('solut', 0.011946579), ('client', 0.011307126), ('card', 0.010875946), ('volum', 0.010610253)]",0.15932813584804534
35,4510,Software and Services,Second Topic,Topic 26,"[('cloud', 0.029424617), ('revenu', 0.027877498), ('servic', 0.024321707), ('product', 0.021314282), ('softwar', 0.021197015), ('custom', 0.020204406), ('enterpris', 0.017119445), ('secur', 0.015450375), ('market', 0.012984253), ('growth', 0.012137802)]",0.1313246130943298
36,4520,"Technology, Hardware and Equipment",First Topic,Topic 26,"[('cloud', 0.029424617), ('revenu', 0.027877498), ('servic', 0.024321707), ('product', 0.021314282), ('softwar', 0.021197015), ('custom', 0.020204406), ('enterpris', 0.017119445), ('secur', 0.015450375), ('market', 0.012984253), ('growth', 0.012137802)]",0.1969860017299652
37,4520,"Technology, Hardware and Equipment",Second Topic,Topic 49,"[('share', 0.02518648), ('return', 0.021979932), ('earn', 0.016599372), ('equiti', 0.016086165), ('perform', 0.013740237), ('stock', 0.012821753), ('market', 0.012519974), ('capit', 0.012459455), ('oper', 0.012442886), ('futur', 0.011733301)]",0.1296096362173557
38,4530,Semiconductors,First Topic,Topic 39,"[('market', 0.016602874), ('product', 0.01633919), ('sale', 0.013096761), ('devic', 0.01154478), ('data', 0.011373499), ('expect', 0.011257519), ('share', 0.010913377), ('chip', 0.010464951), ('pc', 0.010315499), ('semiconductor', 0.009338305)]",0.2646212071180344
39,4530,Semiconductors,Second Topic,Topic 49,"[('share', 0.02518648), ('return', 0.021979932), ('earn', 0.016599372), ('equiti', 0.016086165), ('perform', 0.013740237), ('stock', 0.012821753), ('market', 0.012519974), ('capit', 0.012459455), ('oper', 0.012442886), ('futur', 0.011733301)]",0.11256613135337826
40,5010,Communication Services,First Topic,Topic 3,"[('wireless', 0.02201825), ('network', 0.01916305), ('servic', 0.018205091), ('revenu', 0.014875949), ('custom', 0.0146587), ('tower', 0.014585515), ('data', 0.014419633), ('ebitda', 0.013171908), ('expect', 0.012025365), ('equinix', 0.011749277)]",0.33521955609321596
41,5010,Communication Services,Second Topic,Topic 49,"[('share', 0.02518648), ('return', 0.021979932), ('earn', 0.016599372), ('equiti', 0.016086165), ('perform', 0.013740237), ('stock', 0.012821753), ('market', 0.012519974), ('capit', 0.012459455), ('oper', 0.012442886), ('futur', 0.011733301)]",0.18485348224639891
42,5020,Media and Entertainment,First Topic,Topic 13,"[('content', 0.024647987), ('subscrib', 0.015672157), ('disney', 0.015097646), ('tv', 0.013023778), ('network', 0.012802236), ('revenu', 0.012449783), ('media', 0.011007035), ('stream', 0.010736833), ('cabl', 0.009844829), ('offer', 0.0090867765)]",0.16253257542848584
43,5020,Media and Entertainment,Second Topic,Topic 33,"[('user', 0.030351514), ('revenu', 0.028266817), ('ad', 0.026851555), ('advertis', 0.025506105), ('googl', 0.021310017), ('growth', 0.020322157), ('facebook', 0.015460263), ('platform', 0.0127242), ('market', 0.010707511), ('data', 0.010242777)]",0.13217532858252523
44,5510,Utilities,First Topic,Topic 48,"[('rate', 0.021733498), ('capit', 0.02036357), ('growth', 0.016810285), ('earn', 0.015032871), ('ga', 0.014819061), ('util', 0.013628284), ('share', 0.013208565), ('return', 0.012358294), ('oper', 0.011267944), ('target', 0.011137714)]",0.23908368349075318
45,5510,Utilities,Second Topic,Topic 36,"[('rate', 0.018726768), ('util', 0.014432841), ('expect', 0.01002135), ('project', 0.009542729), ('ga', 0.009272155), ('earn', 0.008653445), ('plan', 0.008388085), ('equiti', 0.007683673), ('tax', 0.0074366024), ('power', 0.007338506)]",0.2257411301136017
46,6010,Real Estate,First Topic,Topic 44,"[('market', 0.020541608), ('properti', 0.02030722), ('growth', 0.019681575), ('reit', 0.019520469), ('rate', 0.0182396), ('leas', 0.014071239), ('portfolio', 0.013197622), ('rent', 0.013087515), ('asset', 0.0129221175), ('develop', 0.010836559)]",0.3098398059606552
47,6010,Real Estate,Second Topic,Topic 49,"[('share', 0.02518648), ('return', 0.021979932), ('earn', 0.016599372), ('equiti', 0.016086165), ('perform', 0.013740237), ('stock', 0.012821753), ('market', 0.012519974), ('capit', 0.012459455), ('oper', 0.012442886), ('futur', 0.011733301)]",0.1753058761358261
