,Ticker,Quarter,Industry,InfoDiversity,Analyst,InfoContribution,GenderAnalyst,Contributor
0,CHD,2020 q2,3030,0.6111381921252317,"Mr. Jon R. Andersen, CFA",0.24372817887708625,male,William Blair & Company
1,PG,2020 q2,3030,0.592671903091637,"Mr. Jon R. Andersen, CFA",0.3174372922634608,male,William Blair & Company
2,CHD,2020 q2,3030,0.6111381921252317,Erin Lash,0.7339951792325229,female,"Morningstar, Inc."
3,CL,2020 q2,3030,0.549214003940891,Erin Lash,0.7404635599342999,female,"Morningstar, Inc."
4,CLX,2020 q2,3030,0.6337864224008204,Erin Lash,0.7229279748178506,female,"Morningstar, Inc."
5,KMB,2020 q2,3030,0.8039855800713515,Erin Lash,0.9106574933412813,female,"Morningstar, Inc."
6,PG,2020 q2,3030,0.592671903091637,Erin Lash,0.7004789985315374,female,"Morningstar, Inc."
7,CHD,2020 q2,3030,0.6111381921252317,Mr. Rupesh Parikh,0.2639116376691664,male,"Oppenheimer & Co., Inc."
8,EI,2020 q2,3030,0.6329727880787559,Mr. Rupesh Parikh,0.2658258448582716,male,"Oppenheimer & Co., Inc."
9,CHD,2020 q2,3030,0.6111381921252317,Arun Sundaram,0.6911098231811734,male,CFRA Equity Research
10,CL,2020 q2,3030,0.549214003940891,Arun Sundaram,0.6837573044469939,male,CFRA Equity Research
11,CLX,2020 q2,3030,0.6337864224008204,Arun Sundaram,0.8015632810437004,male,CFRA Equity Research
12,COTY,2020 q2,3030,0.6475795930368428,Arun Sundaram,0.8301105150025995,male,CFRA Equity Research
13,EI,2020 q2,3030,0.6329727880787559,Arun Sundaram,0.5271053102283466,male,CFRA Equity Research
14,KMB,2020 q2,3030,0.8039855800713515,Arun Sundaram,0.8445872237929926,male,CFRA Equity Research
15,PG,2020 q2,3030,0.592671903091637,Arun Sundaram,0.6445897899211794,male,CFRA Equity Research
16,CHD,2020 q2,3030,0.6111381921252317,Mr. Steve Powers,0.7940833998869066,male,Deutsche Bank
17,CL,2020 q2,3030,0.549214003940891,Mr. Steve Powers,0.769760965533887,male,Deutsche Bank
18,EI,2020 q2,3030,0.6329727880787559,Mr. Steve Powers,0.8670943402368803,male,Deutsche Bank
19,KMB,2020 q2,3030,0.8039855800713515,Mr. Steve Powers,0.883874261089705,male,Deutsche Bank
20,PG,2020 q2,3030,0.592671903091637,Mr. Steve Powers,0.8735039257187239,male,Deutsche Bank
21,CHD,2020 q2,3030,0.6111381921252317,"Kevin M. Grundy, CPA",0.22689779811318003,male,Jefferies
22,CLX,2020 q2,3030,0.6337864224008204,"Kevin M. Grundy, CPA",0.25886256975670774,male,Jefferies
23,KMB,2020 q2,3030,0.8039855800713515,"Kevin M. Grundy, CPA",0.47248070945418674,male,Jefferies
24,PG,2020 q2,3030,0.592671903091637,"Kevin M. Grundy, CPA",0.3757783558856639,male,Jefferies
25,CHD,2020 q2,3030,0.6111381921252317,SADIF Research,0.996591250301722,Not a person,Sadif Analytics Prime
26,CLX,2020 q2,3030,0.6337864224008204,SADIF Research,1.0,Not a person,Sadif Analytics Prime
27,EI,2020 q2,3030,0.6329727880787559,SADIF Research,0.9246868924394441,Not a person,Sadif Analytics Prime
28,KMB,2020 q2,3030,0.8039855800713515,SADIF Research,0.997359217245695,Not a person,Sadif Analytics Prime
29,CHD,2020 q2,3030,0.6111381921252317,Ms. Lauren R. Lieberman,0.4187946696728771,female,Barclays
30,CLX,2020 q2,3030,0.6337864224008204,Ms. Lauren R. Lieberman,0.3861031241900355,female,Barclays
31,COTY,2020 q2,3030,0.6475795930368428,Ms. Lauren R. Lieberman,0.4460996568631551,female,Barclays
32,EI,2020 q2,3030,0.6329727880787559,Ms. Lauren R. Lieberman,0.24718836637310934,female,Barclays
33,KMB,2020 q2,3030,0.8039855800713515,Ms. Lauren R. Lieberman,0.4681746235391651,female,Barclays
34,PG,2020 q2,3030,0.592671903091637,Ms. Lauren R. Lieberman,0.4982539509429344,female,Barclays
35,CHD,2020 q2,3030,0.6111381921252317,"Mr. Dara W. Mohsenian, CFA",0.1801656296101233,male,Morgan Stanley
36,CL,2020 q2,3030,0.549214003940891,"Mr. Dara W. Mohsenian, CFA",0.2992294980990552,male,Morgan Stanley
37,CLX,2020 q2,3030,0.6337864224008204,"Mr. Dara W. Mohsenian, CFA",0.25830708564779953,male,Morgan Stanley
38,COTY,2020 q2,3030,0.6475795930368428,"Mr. Dara W. Mohsenian, CFA",0.22813066773002025,male,Morgan Stanley
39,EI,2020 q2,3030,0.6329727880787559,"Mr. Dara W. Mohsenian, CFA",0.5271053102283466,male,Morgan Stanley
40,KMB,2020 q2,3030,0.8039855800713515,"Mr. Dara W. Mohsenian, CFA",0.46697965696187244,male,Morgan Stanley
41,PG,2020 q2,3030,0.592671903091637,"Mr. Dara W. Mohsenian, CFA",0.46997451986086886,male,Morgan Stanley
42,CHD,2020 q2,3030,0.6111381921252317,"Mr. William B. Chappell, CFA",0.22714623601505135,male,SunTrust Robinson Humphrey Capital Markets
