,Ticker,Quarter,Industry,InfoDiversity,Analyst,InfoContribution,GenderAnalyst,Contributor
0,DHI,2018 q2,2520,0.6682508695712766,Ms. Susan M. Maklari,0.45836022177555746,female,Credit Suisse
1,LEG,2018 q2,2520,0.5807789460365538,Ms. Susan M. Maklari,0.5006151635983136,female,Credit Suisse
2,LEN,2018 q2,2520,0.5635345020316649,Ms. Susan M. Maklari,0.36277462765857593,female,Credit Suisse
3,MHK,2018 q2,2520,0.571852436716173,Ms. Susan M. Maklari,0.5034205971279251,female,Credit Suisse
4,PHM,2018 q2,2520,0.5881466780739232,Ms. Susan M. Maklari,0.508468604924406,female,Credit Suisse
5,WHR,2018 q2,2520,0.7146584029847375,Ms. Susan M. Maklari,0.6838237974316169,female,Credit Suisse
6,DHI,2018 q2,2520,0.6682508695712766,"Jack G. Micenko, Jr",0.541860886473832,male,Susquehanna Financial Group LLLP
7,LEN,2018 q2,2520,0.5635345020316649,"Jack G. Micenko, Jr",0.5585875485845284,male,Susquehanna Financial Group LLLP
8,PHM,2018 q2,2520,0.5881466780739232,"Jack G. Micenko, Jr",0.49429781895843716,male,Susquehanna Financial Group LLLP
9,DHI,2018 q2,2520,0.6682508695712766,"John Lovallo, II",0.5387973401171963,male,BofA Global Research
10,LEN,2018 q2,2520,0.5635345020316649,"John Lovallo, II",0.4281187631200015,male,BofA Global Research
11,MHK,2018 q2,2520,0.571852436716173,"John Lovallo, II",0.5573926516345172,male,BofA Global Research
12,NVR,2018 q2,2520,0.737512140046242,"John Lovallo, II",0.6699863598380287,male,BofA Global Research
13,DHI,2018 q2,2520,0.6682508695712766,Brian Bernard,0.6196620640632312,male,"Morningstar, Inc."
14,LEN,2018 q2,2520,0.5635345020316649,Brian Bernard,0.48853206380842057,male,"Morningstar, Inc."
15,MHK,2018 q2,2520,0.571852436716173,Brian Bernard,0.6567862560884956,male,"Morningstar, Inc."
16,NVR,2018 q2,2520,0.737512140046242,Brian Bernard,0.7300411741421412,male,"Morningstar, Inc."
17,PHM,2018 q2,2520,0.5881466780739232,Brian Bernard,0.7152341675972255,male,"Morningstar, Inc."
18,DHI,2018 q2,2520,0.6682508695712766,"Mr. Kenneth M. Leon, CPA",0.7130627225482465,male,CFRA Equity Research
19,LEN,2018 q2,2520,0.5635345020316649,"Mr. Kenneth M. Leon, CPA",0.6956441549877056,male,CFRA Equity Research
20,NVR,2018 q2,2520,0.737512140046242,"Mr. Kenneth M. Leon, CPA",0.7511029524909795,male,CFRA Equity Research
21,PHM,2018 q2,2520,0.5881466780739232,"Mr. Kenneth M. Leon, CPA",0.731510442474532,male,CFRA Equity Research
22,DHI,2018 q2,2520,0.6682508695712766,"Mark A. Weintraub, CFA",0.20052580703503384,male,The Buckingham Research Group
23,PHM,2018 q2,2520,0.5881466780739232,"Mark A. Weintraub, CFA",0.2537569419366379,male,The Buckingham Research Group
24,DHI,2018 q2,2520,0.6682508695712766,SADIF Research,0.970922036765692,Not a person,Sadif Analytics Prime
25,GRMN,2018 q2,2520,0.9114869471766468,SADIF Research,0.9887521978533849,Not a person,Sadif Analytics Prime
26,HBI,2018 q2,2520,0.7613258978639743,SADIF Research,0.9956507422685971,Not a person,Sadif Analytics Prime
27,NVR,2018 q2,2520,0.737512140046242,SADIF Research,0.9639485867023554,Not a person,Sadif Analytics Prime
28,NWL,2018 q2,2520,0.7397292981086678,SADIF Research,0.992642697403181,Not a person,Sadif Analytics Prime
29,PVH,2018 q2,2520,0.6576202705626213,SADIF Research,0.9882022965474038,Not a person,Sadif Analytics Prime
30,RL,2018 q2,2520,0.641541890612253,SADIF Research,0.9750905710654217,Not a person,Sadif Analytics Prime
31,DHI,2018 q2,2520,0.6682508695712766,"Carl E. Reichardt, Jr.",0.27566441989186363,male,BTIG
32,LEN,2018 q2,2520,0.5635345020316649,"Carl E. Reichardt, Jr.",0.23576508006744232,male,BTIG
33,NVR,2018 q2,2520,0.737512140046242,"Carl E. Reichardt, Jr.",0.39210905614028474,male,BTIG
34,PHM,2018 q2,2520,0.5881466780739232,"Carl E. Reichardt, Jr.",0.24669736317971777,male,BTIG
35,DHI,2018 q2,2520,0.6682508695712766,Mr. Stephen S. Kim,0.2821424793952213,male,EVERCORE ISI
36,LEN,2018 q2,2520,0.5635345020316649,Mr. Stephen S. Kim,0.2819011682618834,male,EVERCORE ISI
37,MHK,2018 q2,2520,0.571852436716173,Mr. Stephen S. Kim,0.33865092574346817,male,EVERCORE ISI
38,PHM,2018 q2,2520,0.5881466780739232,Mr. Stephen S. Kim,0.228751527187247,male,EVERCORE ISI
39,DHI,2018 q2,2520,0.6682508695712766,Mr. Michael Eisen,0.41961868640350397,male,RBC Capital Markets
40,LEN,2018 q2,2520,0.5635345020316649,Mr. Michael Eisen,0.2752721587697696,male,RBC Capital Markets
41,PHM,2018 q2,2520,0.5881466780739232,Mr. Michael Eisen,0.49571298437378414,male,RBC Capital Markets
42,WHR,2018 q2,2520,0.7146584029847375,Mr. Michael Eisen,0.5630545407260827,male,RBC Capital Markets
43,DHI,2018 q2,2520,0.6682508695712766,Mr. Jay McCanless,0.40487255512617243,male,Wedbush Securities Inc.
44,LEN,2018 q2,2520,0.5635345020316649,Mr. Jay McCanless,0.41830394282732236,male,Wedbush Securities Inc.
45,DHI,2018 q2,2520,0.6682508695712766,Mr. Marc Pouey,0.6767946716726091,male,BofA Global Research
46,GRMN,2018 q2,2520,0.9114869471766468,Mr. Robert M. Spingarn,0.8215016948837429,male,Credit Suisse
47,GRMN,2018 q2,2520,0.9114869471766468,Mr. Ali Mogharabi,0.8430921935848504,male,"Morningstar, Inc."
48,GRMN,2018 q2,2520,0.9114869471766468,CFRA Research,0.9049951573887746,Not a person,CFRA Equity Research
49,HAS,2018 q2,2520,0.5603189677696419,Mr. Keith Snyder,0.7405395829623743,male,CFRA Equity Research
50,LEG,2018 q2,2520,0.5807789460365538,Mr. Keith Snyder,0.5449697794432187,male,CFRA Equity Research
51,MHK,2018 q2,2520,0.571852436716173,Mr. Keith Snyder,0.7250099752168861,male,CFRA Equity Research
52,NWL,2018 q2,2520,0.7397292981086678,Mr. Keith Snyder,0.8972627425175272,male,CFRA Equity Research
53,WHR,2018 q2,2520,0.7146584029847375,Mr. Keith Snyder,0.863818302119264,male,CFRA Equity Research
54,HAS,2018 q2,2520,0.5603189677696419,"Mr. Michael A. Swartz, CFA",0.2751988732627488,male,SunTrust Robinson Humphrey Capital Markets
55,HAS,2018 q2,2520,0.5603189677696419,Ms. Stephanie S. Wissink,0.3590575075113324,female,Jefferies
56,HAS,2018 q2,2520,0.5603189677696419,Mr. Eric O. Handler,0.45843710900522994,male,MKM Partners
57,HAS,2018 q2,2520,0.5603189677696419,"Ms. Jaime M. M. Katz, CFA",0.5922750683615129,female,"Morningstar, Inc."
58,HBI,2018 q2,2520,0.7613258978639743,Heather Balsky,0.48477814498320154,female,BofA Global Research
59,PVH,2018 q2,2520,0.6576202705626213,Heather Balsky,0.3784496604942481,female,BofA Global Research
60,RL,2018 q2,2520,0.641541890612253,Heather Balsky,0.5368577247562727,female,BofA Global Research
61,HBI,2018 q2,2520,0.7613258978639743,Victor Ahluwalia,0.8075439284424061,male,CFRA Equity Research
62,NKE,2018 q2,2520,0.6036452234559784,Victor Ahluwalia,0.6180457362708496,male,CFRA Equity Research
63,PVH,2018 q2,2520,0.6576202705626213,Victor Ahluwalia,0.6324442972795694,male,CFRA Equity Research
64,RL,2018 q2,2520,0.641541890612253,Victor Ahluwalia,0.66076088755085,male,CFRA Equity Research
65,TPR,2018 q2,2520,0.31634348958675285,Victor Ahluwalia,0.5319049128412869,male,CFRA Equity Research
66,VFC,2018 q2,2520,0.4545085802461044,Victor Ahluwalia,0.5151869321875514,male,CFRA Equity Research
67,HBI,2018 q2,2520,0.7613258978639743,Mr. Chethan Mallela,0.6251836571519249,male,Barclays
68,PVH,2018 q2,2520,0.6576202705626213,Mr. Chethan Mallela,0.664932181386356,male,Barclays
69,RL,2018 q2,2520,0.641541890612253,Mr. Chethan Mallela,0.5006421806060999,male,Barclays
70,HBI,2018 q2,2520,0.7613258978639743,Mr. Michael C. Binetti,0.562396619381625,male,Credit Suisse
71,NKE,2018 q2,2520,0.6036452234559784,Mr. Michael C. Binetti,0.4711282939742315,male,Credit Suisse
72,PVH,2018 q2,2520,0.6576202705626213,Mr. Michael C. Binetti,0.2372613508726339,male,Credit Suisse
73,TPR,2018 q2,2520,0.31634348958675285,Mr. Michael C. Binetti,0.3509372420957343,male,Credit Suisse
74,VFC,2018 q2,2520,0.4545085802461044,Mr. Michael C. Binetti,0.35088484681743926,male,Credit Suisse
75,LEG,2018 q2,2520,0.5807789460365538,Keith B. Hughes,0.35629946417094027,male,SunTrust Robinson Humphrey Capital Markets
76,MHK,2018 q2,2520,0.571852436716173,Keith B. Hughes,0.18423216513631277,male,SunTrust Robinson Humphrey Capital Markets
77,LEG,2018 q2,2520,0.5807789460365538,Mr. Peter J. Keith,0.7095784662188993,male,Piper Sandler Companies
78,LEN,2018 q2,2520,0.5635345020316649,James F. Kayler,0.3502709683483159,male,BofA Global Research
79,LEN,2018 q2,2520,0.5635345020316649,"Nishu Sood, CFA",0.17722991423114226,male,Deutsche Bank
80,LEN,2018 q2,2520,0.5635345020316649,"Peter L. Martin, CFA",0.24931584021429626,male,JMP Securities
81,NVR,2018 q2,2520,0.737512140046242,"Peter L. Martin, CFA",0.458104034330762,male,JMP Securities
82,LEN,2018 q2,2520,0.5635345020316649,"Ms. Megan McGrath, CFA",0.33898643199213074,female,MKM Partners
83,MHK,2018 q2,2520,0.571852436716173,"Ms. Megan McGrath, CFA",0.3534325306425258,female,MKM Partners
84,NVR,2018 q2,2520,0.737512140046242,"Ms. Megan McGrath, CFA",0.48993497523661683,female,MKM Partners
85,PHM,2018 q2,2520,0.5881466780739232,"Ms. Megan McGrath, CFA",0.4143577067429315,female,MKM Partners
86,WHR,2018 q2,2520,0.7146584029847375,"Ms. Megan McGrath, CFA",0.6670341770096458,female,MKM Partners
