,Ticker,Quarter,Industry,InfoDiversity,Analyst,InfoContribution,GenderAnalyst,Contributor
0,COST,2020 q2,3010,0.5726162234849866,"Mr. Oliver Chen, CFA",0.4318805863589095,male,Cowen and Company
1,WMT,2020 q2,3010,0.6549003269991774,"Mr. Oliver Chen, CFA",0.41642180187670125,male,Cowen and Company
2,COST,2020 q2,3010,0.5726162234849866,"Scot Ciccarelli, CFA",0.45716821428649057,male,RBC Capital Markets
3,WMT,2020 q2,3010,0.6549003269991774,"Scot Ciccarelli, CFA",0.4096855250424616,male,RBC Capital Markets
4,COST,2020 q2,3010,0.5726162234849866,Greg Melich,0.36529251205610336,male,EVERCORE ISI
5,WMT,2020 q2,3010,0.6549003269991774,Greg Melich,0.3423091002119626,male,EVERCORE ISI
6,COST,2020 q2,3010,0.5726162234849866,Karen Short,0.13684049014758778,female,Barclays
7,WMT,2020 q2,3010,0.6549003269991774,Karen Short,0.5903848462137083,female,Barclays
8,COST,2020 q2,3010,0.5726162234849866,"Paul E. Trussell, CFA",0.1494331877934383,male,Deutsche Bank
9,WMT,2020 q2,3010,0.6549003269991774,"Paul E. Trussell, CFA",0.4233217466881408,male,Deutsche Bank
10,COST,2020 q2,3010,0.5726162234849866,Ms. Judah C. Frommer,0.3093957177050557,female,Credit Suisse
11,SYY,2020 q2,3010,0.7618991057860736,Ms. Judah C. Frommer,0.7544794086089248,female,Credit Suisse
12,COST,2020 q2,3010,0.5726162234849866,Garrett Nelson,0.30550201675462546,male,CFRA Equity Research
13,WMT,2020 q2,3010,0.6549003269991774,Garrett Nelson,0.4273371228948922,male,CFRA Equity Research
14,COST,2020 q2,3010,0.5726162234849866,"Robert F. Ohmes, CFA",0.6928999339495061,male,BofA Global Research
15,WMT,2020 q2,3010,0.6549003269991774,"Robert F. Ohmes, CFA",0.27744676167324517,male,BofA Global Research
16,COST,2020 q2,3010,0.5726162234849866,Mr. Rupesh Parikh,0.23281684128044713,male,"Oppenheimer & Co., Inc."
17,KR,2020 q2,3010,0.726738765720685,Mr. Rupesh Parikh,0.4108491487135891,male,"Oppenheimer & Co., Inc."
18,WMT,2020 q2,3010,0.6549003269991774,Mr. Rupesh Parikh,0.39711844064770907,male,"Oppenheimer & Co., Inc."
19,COST,2020 q2,3010,0.5726162234849866,Mr. John E. Heinbockel,0.35574783034812485,male,Guggenheim Securities LLC
20,KR,2020 q2,3010,0.726738765720685,Mr. John E. Heinbockel,0.3665016754720286,male,Guggenheim Securities LLC
21,COST,2020 q2,3010,0.5726162234849866,Edward J. Kelly,0.5428885461225526,male,"Wells Fargo Securities, LLC"
22,KR,2020 q2,3010,0.726738765720685,Edward J. Kelly,0.9535870477724243,male,"Wells Fargo Securities, LLC"
