,Ticker,Quarter,Industry,InfoDiversity,Analyst,InfoContribution,GenderAnalyst,Contributor
0,DHI,2018 q1,2520,0.6474135736957883,Brian Bernard,0.46688878931065236,male,"Morningstar, Inc."
1,LEN,2018 q1,2520,0.6386035921597524,Brian Bernard,0.2682134971859976,male,"Morningstar, Inc."
2,MHK,2018 q1,2520,0.7152831966303009,Brian Bernard,0.3754642211076308,male,"Morningstar, Inc."
3,NVR,2018 q1,2520,0.5584066639197346,Brian Bernard,0.2681685639141364,male,"Morningstar, Inc."
4,PHM,2018 q1,2520,0.6891580439370357,Brian Bernard,0.24573032013035642,male,"Morningstar, Inc."
5,DHI,2018 q1,2520,0.6474135736957883,"Mark A. Weintraub, CFA",0.46804903296309064,male,The Buckingham Research Group
6,PHM,2018 q1,2520,0.6891580439370357,"Mark A. Weintraub, CFA",0.8439378310500779,male,The Buckingham Research Group
7,DHI,2018 q1,2520,0.6474135736957883,"Ms. Megan McGrath, CFA",0.5596127352661692,female,MKM Partners
8,MHK,2018 q1,2520,0.7152831966303009,"Ms. Megan McGrath, CFA",0.4323393559264735,female,MKM Partners
9,NVR,2018 q1,2520,0.5584066639197346,"Ms. Megan McGrath, CFA",0.45839201941559665,female,MKM Partners
10,WHR,2018 q1,2520,0.5404439489096927,"Ms. Megan McGrath, CFA",0.5615175394242058,female,MKM Partners
11,DHI,2018 q1,2520,0.6474135736957883,"Jack G. Micenko, Jr",0.4241798607876027,male,Susquehanna Financial Group LLLP
12,PHM,2018 q1,2520,0.6891580439370357,"Jack G. Micenko, Jr",0.43771603012986554,male,Susquehanna Financial Group LLLP
13,DHI,2018 q1,2520,0.6474135736957883,Mr. Michael Eisen,0.8989393641008033,male,RBC Capital Markets
14,LEN,2018 q1,2520,0.6386035921597524,Mr. Michael Eisen,0.5439830205945693,male,RBC Capital Markets
15,MHK,2018 q1,2520,0.7152831966303009,Mr. Michael Eisen,0.48992740642654015,male,RBC Capital Markets
16,PHM,2018 q1,2520,0.6891580439370357,Mr. Michael Eisen,0.4029481127115912,male,RBC Capital Markets
17,WHR,2018 q1,2520,0.5404439489096927,Mr. Michael Eisen,0.3117929198285296,male,RBC Capital Markets
18,DHI,2018 q1,2520,0.6474135736957883,"Peter L. Martin, CFA",0.4421280198613544,male,JMP Securities
19,LEN,2018 q1,2520,0.6386035921597524,"Peter L. Martin, CFA",0.47032138086322883,male,JMP Securities
20,NVR,2018 q1,2520,0.5584066639197346,"Peter L. Martin, CFA",0.5073284129543479,male,JMP Securities
21,PHM,2018 q1,2520,0.6891580439370357,"Peter L. Martin, CFA",0.4111118660524921,male,JMP Securities
22,DHI,2018 q1,2520,0.6474135736957883,"Nishu Sood, CFA",0.5046153284298073,male,Deutsche Bank
23,PHM,2018 q1,2520,0.6891580439370357,"Nishu Sood, CFA",0.5528359038814498,male,Deutsche Bank
24,GRMN,2018 q1,2520,0.593987732912319,SADIF Research,0.5458144740061542,Not a person,Sadif Analytics Prime
25,PVH,2018 q1,2520,0.6204329737179011,SADIF Research,0.2703591422033683,Not a person,Sadif Analytics Prime
26,GRMN,2018 q1,2520,0.593987732912319,"Mr. Efraim Levy, CFA",0.36478910910209084,male,CFRA Equity Research
27,GRMN,2018 q1,2520,0.593987732912319,Ronald J. J. Epstein,0.484052142068003,male,BofA Global Research
28,GRMN,2018 q1,2520,0.593987732912319,Mr. Yuuji Anderson,0.7664081091112623,male,Morgan Stanley
29,GRMN,2018 q1,2520,0.593987732912319,Mr. Ali Mogharabi,0.4436116205285896,male,"Morningstar, Inc."
30,GRMN,2018 q1,2520,0.593987732912319,Mr. Charles L. Anderson,0.4022861482330575,male,Colliers Securities
31,HAS,2018 q1,2520,0.420183975232863,"Mr. Michael A. Swartz, CFA",0.20607714744689293,male,SunTrust Robinson Humphrey Capital Markets
32,HAS,2018 q1,2520,0.420183975232863,"Ms. Jaime M. M. Katz, CFA",0.4584530488493366,female,"Morningstar, Inc."
33,HAS,2018 q1,2520,0.420183975232863,Felicia R. R. Hendrix,0.33945059073144723,female,Barclays
34,HAS,2018 q1,2520,0.420183975232863,Mr. Eric O. Handler,0.2986620857788528,male,MKM Partners
35,HAS,2018 q1,2520,0.420183975232863,Ms. Stephanie S. Wissink,0.2402220848154881,female,Jefferies
36,HAS,2018 q1,2520,0.420183975232863,Mr. Keith Snyder,0.4655860949557432,male,CFRA Equity Research
37,LEG,2018 q1,2520,0.0,Mr. Keith Snyder,,male,CFRA Equity Research
38,MHK,2018 q1,2520,0.7152831966303009,Mr. Keith Snyder,0.3432576873965445,male,CFRA Equity Research
39,NWL,2018 q1,2520,0.6568754824542893,Mr. Keith Snyder,0.3343552298501479,male,CFRA Equity Research
40,WHR,2018 q1,2520,0.5404439489096927,Mr. Keith Snyder,0.28886224813392775,male,CFRA Equity Research
41,HAS,2018 q1,2520,0.420183975232863,"Timothy A. Conder, CPA",0.2674795976505011,male,"Wells Fargo Securities, LLC"
42,HBI,2018 q1,2520,0.6221708411266943,KC Katten,0.41916842593991194,female,Credit Suisse
43,PVH,2018 q1,2520,0.6204329737179011,KC Katten,0.36523620214470787,female,Credit Suisse
44,HBI,2018 q1,2520,0.6221708411266943,"Mr. John D. Kernan, CFA",0.5233189131500361,male,Cowen and Company
45,NKE,2018 q1,2520,0.6523227780547896,"Mr. John D. Kernan, CFA",0.32286243929539293,male,Cowen and Company
46,PVH,2018 q1,2520,0.6204329737179011,"Mr. John D. Kernan, CFA",0.22115653304292718,male,Cowen and Company
47,VFC,2018 q1,2520,0.675260950431956,"Mr. John D. Kernan, CFA",0.8089009359218883,male,Cowen and Company
48,HBI,2018 q1,2520,0.6221708411266943,Anna A. Andreeva,0.37650639625109356,female,"Oppenheimer & Co., Inc."
49,NKE,2018 q1,2520,0.6523227780547896,Anna A. Andreeva,0.48337285099329336,female,"Oppenheimer & Co., Inc."
50,TPR,2018 q1,2520,0.6875078672589553,Anna A. Andreeva,0.36040563937306347,female,"Oppenheimer & Co., Inc."
51,HBI,2018 q1,2520,0.6221708411266943,Mr. Omar R. Saad,0.49530392896969117,male,EVERCORE ISI
52,NKE,2018 q1,2520,0.6523227780547896,Mr. Omar R. Saad,0.47000912921709914,male,EVERCORE ISI
53,PVH,2018 q1,2520,0.6204329737179011,Mr. Omar R. Saad,0.34324943860188867,male,EVERCORE ISI
54,TPR,2018 q1,2520,0.6875078672589553,Mr. Omar R. Saad,0.4265562144137709,male,EVERCORE ISI
55,HBI,2018 q1,2520,0.6221708411266943,Victor Ahluwalia,0.37470406503558285,male,CFRA Equity Research
56,NKE,2018 q1,2520,0.6523227780547896,Victor Ahluwalia,0.2926075431156123,male,CFRA Equity Research
57,PVH,2018 q1,2520,0.6204329737179011,Victor Ahluwalia,0.5001422565888156,male,CFRA Equity Research
58,TPR,2018 q1,2520,0.6875078672589553,Victor Ahluwalia,0.6239554623436601,male,CFRA Equity Research
59,VFC,2018 q1,2520,0.675260950431956,Victor Ahluwalia,0.6035893755654146,male,CFRA Equity Research
60,HBI,2018 q1,2520,0.6221708411266943,Tiffany Kanaga,0.4866087965878232,female,Deutsche Bank
61,PVH,2018 q1,2520,0.6204329737179011,Tiffany Kanaga,0.3249727363271493,female,Deutsche Bank
62,HBI,2018 q1,2520,0.6221708411266943,"Mr. Steven L. Marotta, CFA",0.4974841986869646,male,C.L. King & Associates
