,Ticker,Quarter,Industry,InfoDiversity,Analyst,InfoContribution,GenderAnalyst,Contributor
0,CHD,2019 q3,3030,0.5880782995989879,Mr. Kaumil S. Gajrawala,0.5328428110434011,male,Credit Suisse
1,CL,2019 q3,3030,0.5742037020460136,Mr. Kaumil S. Gajrawala,0.6319498410576712,male,Credit Suisse
2,CLX,2019 q3,3030,0.5727750844673547,Mr. Kaumil S. Gajrawala,0.39815675194483646,male,Credit Suisse
3,PG,2019 q3,3030,0.6141099629401183,Mr. Kaumil S. Gajrawala,0.2928617936547954,male,Credit Suisse
4,CHD,2019 q3,3030,0.5880782995989879,Erin Lash,0.35735596978143147,female,"Morningstar, Inc."
5,CL,2019 q3,3030,0.5742037020460136,Erin Lash,0.3269857296670776,female,"Morningstar, Inc."
6,CLX,2019 q3,3030,0.5727750844673547,Erin Lash,0.3142986679301102,female,"Morningstar, Inc."
7,KMB,2019 q3,3030,0.4830560408052943,Erin Lash,0.559118355626319,female,"Morningstar, Inc."
8,PG,2019 q3,3030,0.6141099629401183,Erin Lash,0.41613474247223187,female,"Morningstar, Inc."
9,CHD,2019 q3,3030,0.5880782995989879,"Mr. William B. Chappell, CFA",0.2578172971239451,male,SunTrust Robinson Humphrey Capital Markets
10,CL,2019 q3,3030,0.5742037020460136,"Mr. William B. Chappell, CFA",0.31484619010702564,male,SunTrust Robinson Humphrey Capital Markets
11,PG,2019 q3,3030,0.6141099629401183,"Mr. William B. Chappell, CFA",0.3467463910443336,male,SunTrust Robinson Humphrey Capital Markets
12,CHD,2019 q3,3030,0.5880782995989879,Mr. Rupesh Parikh,0.5924733868343919,male,"Oppenheimer & Co., Inc."
13,EI,2019 q3,3030,0.639590727437625,Mr. Rupesh Parikh,0.7223642395784118,male,"Oppenheimer & Co., Inc."
14,CHD,2019 q3,3030,0.5880782995989879,"Olivia Tong, CFA",0.22815821272772946,female,BofA Global Research
15,CL,2019 q3,3030,0.5742037020460136,"Olivia Tong, CFA",0.6989845971522861,female,BofA Global Research
16,CLX,2019 q3,3030,0.5727750844673547,"Olivia Tong, CFA",0.521595918365982,female,BofA Global Research
17,COTY,2019 q3,3030,0.6551684806938789,"Olivia Tong, CFA",0.5547153891184596,female,BofA Global Research
18,EI,2019 q3,3030,0.639590727437625,"Olivia Tong, CFA",0.40876215385411213,female,BofA Global Research
19,KMB,2019 q3,3030,0.4830560408052943,"Olivia Tong, CFA",0.2413752973249887,female,BofA Global Research
20,PG,2019 q3,3030,0.6141099629401183,"Olivia Tong, CFA",0.6657682670602906,female,BofA Global Research
21,CHD,2019 q3,3030,0.5880782995989879,Arun Sundaram,0.3934642271043319,male,CFRA Equity Research
22,CL,2019 q3,3030,0.5742037020460136,Arun Sundaram,0.23347394955731532,male,CFRA Equity Research
23,CLX,2019 q3,3030,0.5727750844673547,Arun Sundaram,0.3425695550690588,male,CFRA Equity Research
24,COTY,2019 q3,3030,0.6551684806938789,Arun Sundaram,0.47090587844065723,male,CFRA Equity Research
25,EI,2019 q3,3030,0.639590727437625,Arun Sundaram,0.24217907668261543,male,CFRA Equity Research
26,KMB,2019 q3,3030,0.4830560408052943,Arun Sundaram,0.3268426100341275,male,CFRA Equity Research
27,PG,2019 q3,3030,0.6141099629401183,Arun Sundaram,0.11114257741834116,male,CFRA Equity Research
28,CHD,2019 q3,3030,0.5880782995989879,"Mr. Jon R. Andersen, CFA",0.7786458055095903,male,William Blair & Company
