,Ticker,Quarter,Industry,InfoDiversity,Analyst,InfoContribution,GenderAnalyst,Contributor
0,DHI,2019 q2,2520,0.7724302101075688,Mr. Stephen S. Kim,0.6634955758150707,male,EVERCORE ISI
1,LEN,2019 q2,2520,0.7338118442909547,Mr. Stephen S. Kim,0.49542036537383066,male,EVERCORE ISI
2,MHK,2019 q2,2520,0.7705270530713317,Mr. Stephen S. Kim,0.7768098919221154,male,EVERCORE ISI
3,NVR,2019 q2,2520,0.7060835673899184,Mr. Stephen S. Kim,0.6060046266194576,male,EVERCORE ISI
4,PHM,2019 q2,2520,0.7811900945216657,Mr. Stephen S. Kim,0.9907339797518478,male,EVERCORE ISI
5,DHI,2019 q2,2520,0.7724302101075688,Brian Bernard,0.4751129264483007,male,"Morningstar, Inc."
6,LEN,2019 q2,2520,0.7338118442909547,Brian Bernard,0.5203468981736475,male,"Morningstar, Inc."
7,MHK,2019 q2,2520,0.7705270530713317,Brian Bernard,0.6874331331921572,male,"Morningstar, Inc."
8,NVR,2019 q2,2520,0.7060835673899184,Brian Bernard,0.515376236460202,male,"Morningstar, Inc."
9,PHM,2019 q2,2520,0.7811900945216657,Brian Bernard,0.44506917336743557,male,"Morningstar, Inc."
10,DHI,2019 q2,2520,0.7724302101075688,"Jack G. Micenko, Jr",0.4900114228610678,male,Susquehanna Financial Group LLLP
11,LEN,2019 q2,2520,0.7338118442909547,"Jack G. Micenko, Jr",0.7670963698291801,male,Susquehanna Financial Group LLLP
12,PHM,2019 q2,2520,0.7811900945216657,"Jack G. Micenko, Jr",0.7543499526028176,male,Susquehanna Financial Group LLLP
13,DHI,2019 q2,2520,0.7724302101075688,Mr. Jay McCanless,0.9901058956618976,male,Wedbush Securities Inc.
14,LEN,2019 q2,2520,0.7338118442909547,Mr. Jay McCanless,0.4897759242991044,male,Wedbush Securities Inc.
15,PHM,2019 q2,2520,0.7811900945216657,Mr. Jay McCanless,0.8176186828994768,male,Wedbush Securities Inc.
16,DHI,2019 q2,2520,0.7724302101075688,"Carl E. Reichardt, Jr.",0.6209358599526111,male,BTIG
17,NVR,2019 q2,2520,0.7060835673899184,"Carl E. Reichardt, Jr.",0.7326869139623113,male,BTIG
18,PHM,2019 q2,2520,0.7811900945216657,"Carl E. Reichardt, Jr.",0.47262576661029365,male,BTIG
19,DHI,2019 q2,2520,0.7724302101075688,Matthew A. Bouley,0.7754333650292303,male,Barclays
20,LEN,2019 q2,2520,0.7338118442909547,Matthew A. Bouley,0.575092394154755,male,Barclays
21,MHK,2019 q2,2520,0.7705270530713317,Matthew A. Bouley,0.6329753471692879,male,Barclays
22,DHI,2019 q2,2520,0.7724302101075688,"Mr. Kenneth M. Leon, CPA",0.714693812576462,male,CFRA Equity Research
23,LEG,2019 q2,2520,0.5566339327900443,"Mr. Kenneth M. Leon, CPA",0.5364919669681744,male,CFRA Equity Research
24,MHK,2019 q2,2520,0.7705270530713317,"Mr. Kenneth M. Leon, CPA",0.3216716757981272,male,CFRA Equity Research
25,NVR,2019 q2,2520,0.7060835673899184,"Mr. Kenneth M. Leon, CPA",0.6632087924852342,male,CFRA Equity Research
26,NWL,2019 q2,2520,0.7854639322161091,"Mr. Kenneth M. Leon, CPA",0.6861039178725775,male,CFRA Equity Research
27,PHM,2019 q2,2520,0.7811900945216657,"Mr. Kenneth M. Leon, CPA",0.6606553580752239,male,CFRA Equity Research
28,WHR,2019 q2,2520,0.7092327401256333,"Mr. Kenneth M. Leon, CPA",0.45198542498066774,male,CFRA Equity Research
29,GRMN,2019 q2,2520,0.6388178237713422,Mr. Ali Mogharabi,0.5864460066512898,male,"Morningstar, Inc."
30,GRMN,2019 q2,2520,0.6388178237713422,Mr. Seth Sherwood,0.5197193676440255,male,"Morningstar, Inc."
31,GRMN,2019 q2,2520,0.6388178237713422,"Ms. Angelo Zino, CFA",0.5918666203717213,female,CFRA Equity Research
32,GRMN,2019 q2,2520,0.6388178237713422,Mr. Charles L. Anderson,0.6813726365920871,male,Colliers Securities
33,GRMN,2019 q2,2520,0.6388178237713422,SADIF Research,0.46617810086438044,Not a person,Sadif Analytics Prime
