,Ticker,Quarter,Industry,InfoDiversity,Analyst,InfoContribution,GenderAnalyst,Contributor
0,CTL,2020 q1,5010,0.5250602962738655,Mr. Keith Snyder,0.16745637157937543,male,CFRA Equity Research
1,T,2020 q1,5010,0.46359725946824015,Mr. Keith Snyder,0.23596509888364817,male,CFRA Equity Research
2,TMUS,2020 q1,5010,0.523413303916012,Mr. Keith Snyder,0.23219282590650117,male,CFRA Equity Research
3,CTL,2020 q1,5010,0.5250602962738655,Simon W. Flannery,0.36425462952910215,male,Morgan Stanley
4,T,2020 q1,5010,0.46359725946824015,Simon W. Flannery,0.1837485341262732,male,Morgan Stanley
5,TMUS,2020 q1,5010,0.523413303916012,Simon W. Flannery,0.35533594059943835,male,Morgan Stanley
6,VZ,2020 q1,5010,0.5704816288466636,Simon W. Flannery,0.4619047418840448,male,Morgan Stanley
7,CTL,2020 q1,5010,0.5250602962738655,Greg P Miller,0.513886565295498,male,SunTrust Robinson Humphrey Capital Markets
8,TMUS,2020 q1,5010,0.523413303916012,Greg P Miller,0.5700111580795764,male,SunTrust Robinson Humphrey Capital Markets
9,CTL,2020 q1,5010,0.5250602962738655,James Ratcliffe,0.5933996502523772,male,EVERCORE ISI
10,CTL,2020 q1,5010,0.5250602962738655,Mr. Matthew Dolgin,0.19637315409007375,male,"Morningstar, Inc."
11,CTL,2020 q1,5010,0.5250602962738655,"Anthony F. Klarman, II",0.3705775244482455,male,Deutsche Bank
12,CTL,2020 q1,5010,0.5250602962738655,Michael McCormack,0.2174646039445659,male,Guggenheim Securities LLC
13,T,2020 q1,5010,0.46359725946824015,Michael McCormack,0.5618050555871457,male,Guggenheim Securities LLC
14,VZ,2020 q1,5010,0.5704816288466636,Michael McCormack,0.5979087355808659,male,Guggenheim Securities LLC
15,CTL,2020 q1,5010,0.5250602962738655,Stephen W. Suttmeier,0.3628684241549,male,BofA Global Research
16,CTL,2020 q1,5010,0.5250602962738655,Jonathan Atkin,0.7482627520262006,male,RBC Capital Markets
17,T,2020 q1,5010,0.46359725946824015,Jonathan Atkin,0.3909555775220536,male,RBC Capital Markets
18,TMUS,2020 q1,5010,0.523413303916012,Jonathan Atkin,0.2679796409081855,male,RBC Capital Markets
19,VZ,2020 q1,5010,0.5704816288466636,Jonathan Atkin,0.5365794142706309,male,RBC Capital Markets
20,T,2020 q1,5010,0.46359725946824015,"David W. Barden, Jr",0.2709920467664905,male,BofA Global Research
21,TMUS,2020 q1,5010,0.523413303916012,"David W. Barden, Jr",0.27208857897206123,male,BofA Global Research
22,VZ,2020 q1,5010,0.5704816288466636,"David W. Barden, Jr",0.489532152210262,male,BofA Global Research
23,T,2020 q1,5010,0.46359725946824015,"Mr. Michael Hodel, CFA",0.2985412955213312,male,"Morningstar, Inc."
24,TMUS,2020 q1,5010,0.523413303916012,"Mr. Michael Hodel, CFA",0.1582303353180235,male,"Morningstar, Inc."
25,VZ,2020 q1,5010,0.5704816288466636,"Mr. Michael Hodel, CFA",0.38415430694763003,male,"Morningstar, Inc."
26,T,2020 q1,5010,0.46359725946824015,Colby A. Synesael,0.45555264070778106,male,Cowen and Company
27,TMUS,2020 q1,5010,0.523413303916012,Colby A. Synesael,0.5970531063533492,male,Cowen and Company
28,T,2020 q1,5010,0.46359725946824015,Mr. Bryan D. Kraft,0.20975129100130493,male,Deutsche Bank
29,T,2020 q1,5010,0.46359725946824015,"Jeff C. Fan, CFA",0.45219666298466293,male,Scotiabank GBM
30,TMUS,2020 q1,5010,0.523413303916012,"Mr. Philip Cusick, CFA",0.7575153647688778,male,JPMorgan
