,Ticker,Quarter,Industry,InfoDiversity,Analyst,InfoContribution,GenderAnalyst,Contributor
0,COST,2019 q4,3010,0.5100458412799553,Greg Melich,0.7816484639181768,male,EVERCORE ISI
1,WMT,2019 q4,3010,0.539075181003716,Greg Melich,0.9658313289036456,male,EVERCORE ISI
2,COST,2019 q4,3010,0.5100458412799553,Garrett Nelson,0.2184215008191292,male,CFRA Equity Research
3,WMT,2019 q4,3010,0.539075181003716,Garrett Nelson,0.2556185440786803,male,CFRA Equity Research
4,COST,2019 q4,3010,0.5100458412799553,"Robert F. Ohmes, CFA",0.20295543228488622,male,BofA Global Research
5,COST,2019 q4,3010,0.5100458412799553,"Charles E. Cerankosky, Jr",0.17825235380554025,male,Northcoast Research
6,COST,2019 q4,3010,0.5100458412799553,Mr. John E. Heinbockel,0.3909256753078394,male,Guggenheim Securities LLC
7,SYY,2019 q4,3010,0.4536315837569588,Mr. John E. Heinbockel,0.3283720254340329,male,Guggenheim Securities LLC
8,COST,2019 q4,3010,0.5100458412799553,Zain Akbari,0.407585902895686,male,"Morningstar, Inc."
9,KR,2019 q4,3010,0.5412669991282559,Zain Akbari,0.3074730477898209,male,"Morningstar, Inc."
10,WMT,2019 q4,3010,0.539075181003716,Zain Akbari,0.4492509549637956,male,"Morningstar, Inc."
11,COST,2019 q4,3010,0.5100458412799553,"Paul E. Trussell, CFA",0.26862826571450976,male,Deutsche Bank
12,KR,2019 q4,3010,0.5412669991282559,"Paul E. Trussell, CFA",0.23122934903438222,male,Deutsche Bank
13,WMT,2019 q4,3010,0.539075181003716,"Paul E. Trussell, CFA",0.14603669842696465,male,Deutsche Bank
14,COST,2019 q4,3010,0.5100458412799553,"Scot Ciccarelli, CFA",0.6138838347573987,male,RBC Capital Markets
15,WMT,2019 q4,3010,0.539075181003716,"Scot Ciccarelli, CFA",0.8107471392429676,male,RBC Capital Markets
16,COST,2019 q4,3010,0.5100458412799553,"Mr. Simeon Gutman, CFA",0.2254540137869699,male,Morgan Stanley
17,WMT,2019 q4,3010,0.539075181003716,"Mr. Simeon Gutman, CFA",0.20555949422572195,male,Morgan Stanley
18,COST,2019 q4,3010,0.5100458412799553,Karen Short,0.1606559022059428,female,Barclays
19,KR,2019 q4,3010,0.5412669991282559,Karen Short,0.6369392383275858,female,Barclays
20,WMT,2019 q4,3010,0.539075181003716,Karen Short,0.29359698342722906,female,Barclays
21,COST,2019 q4,3010,0.5100458412799553,Edward J. Kelly,0.629692021377576,male,"Wells Fargo Securities, LLC"
22,KR,2019 q4,3010,0.5412669991282559,Edward J. Kelly,0.32173389611535724,male,"Wells Fargo Securities, LLC"
23,COST,2019 q4,3010,0.5100458412799553,Jeffrey Drotar,0.3203989724061638,male,Jefferies
24,COST,2019 q4,3010,0.5100458412799553,Mr. Joseph I. Feldman,0.3142730322363902,male,Telsey Advisory Group
25,KR,2019 q4,3010,0.5412669991282559,Mr. Joseph I. Feldman,0.2891164359160432,male,Telsey Advisory Group
26,WMT,2019 q4,3010,0.539075181003716,Mr. Joseph I. Feldman,0.21923325395270044,male,Telsey Advisory Group
27,COST,2019 q4,3010,0.5100458412799553,Mr. Rupesh Parikh,0.18681531478230376,male,"Oppenheimer & Co., Inc."
28,KR,2019 q4,3010,0.5412669991282559,Mr. Rupesh Parikh,0.25561020842249427,male,"Oppenheimer & Co., Inc."
29,WMT,2019 q4,3010,0.539075181003716,Mr. Rupesh Parikh,0.21544958579210294,male,"Oppenheimer & Co., Inc."
30,KR,2019 q4,3010,0.5412669991282559,Ms. Judah C. Frommer,0.2742084116270727,female,Credit Suisse
31,SYY,2019 q4,3010,0.4536315837569588,Ms. Judah C. Frommer,0.23603558723798626,female,Credit Suisse
32,KR,2019 q4,3010,0.5412669991282559,"Mr. Michael D. Montani, CFA",0.21183841267154344,male,EVERCORE ISI
33,KR,2019 q4,3010,0.5412669991282559,Arun Sundaram,0.48223361490818906,male,CFRA Equity Research
34,SYY,2019 q4,3010,0.4536315837569588,Arun Sundaram,0.17347787510164245,male,CFRA Equity Research
35,WBA,2019 q4,3010,0.4844936025931982,Arun Sundaram,0.21993564368327695,male,CFRA Equity Research
36,KR,2019 q4,3010,0.5412669991282559,"Patricia A. Baker, PHD",0.9624023253774461,female,Scotiabank GBM
37,KR,2019 q4,3010,0.5412669991282559,Mr. Ben Bienvenu,0.33411664616081976,male,Stephens Inc.
38,WMT,2019 q4,3010,0.539075181003716,Mr. Ben Bienvenu,0.3379719977440437,male,Stephens Inc.
39,SYY,2019 q4,3010,0.4536315837569588,Ms. Rebecca S. Scheuneman,0.8363500515444987,female,"Morningstar, Inc."
40,SYY,2019 q4,3010,0.4536315837569588,Jeffrey A. A. Bernstein,0.25202567165885714,male,Barclays
41,SYY,2019 q4,3010,0.4536315837569588,Nicole Miller Regan,0.36536561008304697,female,Piper Sandler Companies
42,SYY,2019 q4,3010,0.4536315837569588,Ms. Marisa Sullivan,0.2643867630202851,female,BofA Global Research
43,WBA,2019 q4,3010,0.4844936025931982,Anton Hie,0.8106562538556323,male,RBC Capital Markets
44,WBA,2019 q4,3010,0.4844936025931982,George R. Hill,0.2193167984831462,male,Deutsche Bank
45,WBA,2019 q4,3010,0.4844936025931982,Ms. Soo Romanoff,0.18022363121979054,female,"Morningstar, Inc."
46,WBA,2019 q4,3010,0.4844936025931982,Justin Lake,0.3244422803241192,male,Wolfe Research
47,WBA,2019 q4,3010,0.4844936025931982,Mr. Michael A. Cherny,0.1879467362498256,male,BofA Global Research
48,WBA,2019 q4,3010,0.4844936025931982,Peter H. Costa,0.6408550106262496,male,"Wells Fargo Securities, LLC"
49,WBA,2019 q4,3010,0.4844936025931982,Ms. Elizabeth Anderson,0.1965994137853951,female,EVERCORE ISI
50,WBA,2019 q4,3010,0.4844936025931982,SADIF Research,0.41409916537364816,Not a person,Sadif Analytics Prime
51,WBA,2019 q4,3010,0.4844936025931982,Mr. Steve Valiquette,0.2973647999918798,male,Barclays
52,WMT,2019 q4,3010,0.539075181003716,Mr. Seth I. Sigman,0.2005591744224548,male,Credit Suisse
53,WMT,2019 q4,3010,0.539075181003716,"Zachary Fadem, CPA",0.23297260169663403,male,"Wells Fargo Securities, LLC"
54,WMT,2019 q4,3010,0.539075181003716,Joaquin Ley,0.2797248890975862,male,Itau BBA
55,WMT,2019 q4,3010,0.539075181003716,Mr. Robert S. Drbul,0.610089622450813,male,Guggenheim Securities LLC
